Complete Game Pass Master List by u/ABattleVet,512,,,,,,Playstation Plus,,,,See suggestions tab for color coding,,The community can add games to cross play/play anywhere,,Public Notes,
Game,System,xCloud,Status,Added,Removed,Months,Release,Age,Metacritic,Completion,Genre (Giantbomb),Xbox Series X|S,Owner Notes,ESRB,ESRB Content Descriptors,Community Notes
Braid,Xbox,,Removed,Jun 2017,Apr 2020,34.98,Aug 2008,8.82,93,5,Puzzle / Platformer,,,,,Xbox 360
Metal Slug 3,Xbox,,Removed,Jun 2017,Apr 2020,34.98,Jun 2000,17.01,76,2,Action / Shooter,,,,,"Arcade, Neo Geo"
The Book of Unwritten Tales 2,Xbox,,Removed,Jun 2017,Apr 2020,34.49,Feb 2015,2.28,79,20,Adventure,,,,,
FEZ,PC,,Removed,Jun 2019,Apr 2020,9.76,Apr 2012,7.16,91,6,Puzzle / Platformer,,,,,
Valkyria Chronicles,PC,,Removed,Jun 2019,Apr 2020,9.76,Apr 2008,11.14,85,31,Strategy / Role-Playing,,,,,PlayStation 3
Guacamelee! Super Turbo Championship Edition,Xbox,,Removed,Jul 2017,Apr 2020,33.04,Jul 2014,3.00,88,7,Brawler / Platformer / Action-Adventure,,,,,
MX vs. ATV: Reflex,Xbox,,Removed,Jun 2017,Apr 2020,34.03,Dec 2009,7.50,75,19,Driving/Racing,,,,,"Xbox 360, PlayStation 3, PC"
Samurai Shodown II,Xbox,,Removed,Jun 2017,Apr 2020,34.03,Oct 1994,22.61,73,1,Action,,,,,"Arcade, Neo Geo"
LEGO Worlds,Xbox,,Removed,Sep 2019,Mar 2020,5.16,Mar 2017,2.56,69,9,Action-Adventure,FPS Boost X Only,,,,Does not FPS boost on Series S
Apocalipsis,PC,,Removed,Jun 2019,Mar 2020,8.75,Feb 2018,1.28,73,3,Adventure / Puzzle,,,,,
Battle Chef Brigade,PC,,Removed,Jun 2019,Mar 2020,8.75,Nov 2017,1.55,80,9,Action / Simulation,,,,,
Borderlands 2,Xbox,,Removed,Jun 2019,Mar 2020,8.75,Sep 2012,6.73,80,31,Role-Playing / First-Person Shooter,,,,,
Borderlands: The Pre-Sequel!,Xbox,,Removed,Jun 2019,Mar 2020,8.75,Oct 2014,4.65,80,18,Role-Playing / First-Person Shooter,,,,,
Kingsway,PC,,Removed,Jun 2019,Mar 2020,8.75,Jul 2017,1.89,80,5,Role-Playing,,,,,
Lichtspeer: Double Speer Edition,Xbox / PC,,Removed,Jun 2019,Mar 2020,8.75,Sep 2016,2.70,69,4,Sports,,,,,
Orwell: Keeping an Eye on You,PC,,Removed,Jun 2019,Mar 2020,8.75,Oct 2016,2.61,77,5,Adventure,,,,,
Shenmue,Xbox / PC,,Removed,Jun 2019,Mar 2020,8.75,Dec 1999,19.46,75,20,Action-Adventure / Role-Playing / Brawler,,,,,Dreamcast
Shenmue II,Xbox / PC,,Removed,Jun 2019,Mar 2020,8.75,Sep 2001,17.77,75,25,Action-Adventure,,,,,Dreamcast
Thimbleweed Park,Xbox / PC,,Removed,Jun 2019,Mar 2020,8.75,Mar 2017,2.19,84,11,Adventure,,,,,
Titan-Quest: Anniversary Edition,PC,,Removed,Jun 2019,Mar 2020,8.75,Aug 2016,2.77,77,34,Action / Role-Playing,,,,,
The Golf Club 2,Xbox,,Removed,Apr 2019,Mar 2020,10.68,Jun 2017,1.79,69,125,Golf,,,,,
Operencia: The Stolen Sun,Xbox / PC,,Removed,Mar 2019,Mar 2020,11.11,Mar 2019,0.00,80,19,Role-Playing,,,,,
Deus Ex: Mankind Divided,Xbox,,Removed,Mar 2019,Mar 2020,11.38,Aug 2016,2.58,83,16,Role-Playing / First-Person Shooter,FPS Boost,,,,
Disney Epic Mickey 2: The Power of Two,Xbox,,Removed,Feb 2019,Feb 2020,11.80,Nov 2012,6.26,59,9,Platformer / Action-Adventure,,,,,
Just Cause 4,Xbox,,Removed,Mar 2019,Feb 2020,10.95,Dec 2018,0.25,70,16,Action-Adventure,,,,,
Batman: Arkham City,Xbox,,Removed,Feb 2019,Feb 2020,11.38,Oct 2011,7.35,77,13,Action-Adventure,,,,,
The Jackbox Party Pack 2,Xbox,,Removed,Aug 2019,Feb 2020,5.82,Oct 2015,3.82,80,2,Trivia/Board Game / Minigame Collection,,,,,
Batman: Arkham Asylum,Xbox,,Removed,Feb 2019,Feb 2020,11.34,Aug 2009,9.50,77,12,Action-Adventure,,,,,"Xbox 360, PlayStation 3, PC"
Pumped BMX Pro,Xbox,,Removed,Feb 2019,Feb 2020,11.80,Feb 2019,0.00,53,15,Sports,,,,,
Shadow of the Tomb Raider,Xbox,,Removed,Feb 2019,Feb 2020,12.00,Sep 2018,0.38,82,13,Shooter / Action-Adventure,,,,,
Tom Clancy's The Division,Xbox,,Removed,Dec 2019,Jan 2020,1.02,Mar 2016,3.73,80,22,Role-Playing / Shooter,FPS Boost,,,,
LEGO City Undercover,Xbox,,Removed,Jul 2019,Jan 2020,5.72,Mar 2013,6.32,77,16,Driving/Racing / Action-Adventure / Platformer,,,,,
Resident Evil 4,Xbox,,Removed,Jul 2019,Jan 2020,6.05,Jan 2005,14.48,76,16,Shooter / Action-Adventure,,,,,GameCube
Just Cause 3,Xbox,,Removed,Jan 2019,Jan 2020,12.00,Dec 2015,3.09,71,18,Action,,,,,
Middle-earth: Shadow of Mordor - Game of the Year Edition,Xbox,,Removed,Jan 2019,Jan 2020,12.00,Sep 2014,4.26,87,18,Action-Adventure,,,,,
Saints Row: The Third,Xbox,,Removed,Jan 2019,Jan 2020,12.00,Nov 2011,7.13,84,15,Action / Driving/Racing / Shooter,,,,,
Tomb Raider: Definitive Edition,Xbox,,Removed,Jan 2019,Jan 2020,12.00,Mar 2013,5.83,86,12,Shooter / Platformer / Action-Adventure,FPS Boost,,,,
Headlander,Xbox,,Removed,Feb 2019,Dec 2019,9.96,Jul 2016,2.52,78,6,Action-Adventure,,,,,
Life is Strange,Xbox,,Removed,Jan 2019,Dec 2019,10.98,Jan 2015,3.92,85,14,Adventure,FPS Boost,,,,
Life is Strange: Before the Storm,Xbox,,Removed,Jan 2019,Dec 2019,10.98,Aug 2017,1.34,82,10,Adventure,,,,,
Ashen,Xbox,,Removed,Dec 2018,Dec 2019,11.01,Dec 2018,0.07,78,16,Action / Role-Playing / Action-Adventure,,,,,
Pro Evolution Soccer 2019,Xbox,,Removed,Dec 2018,Dec 2019,11.57,Aug 2018,0.30,82,27,Sports / Simulation / Soccer,,,,,
Tecmo Bowl: Throwback,Xbox,,Removed,Jan 2018,Dec 2019,22.98,Apr 2010,7.68,67,6,Football,,,,,
Robocraft Infinity,Xbox,,Removed,Apr 2018,Nov 2019,19.66,Apr 2018,0.00,55,35,Shooter,,,,,
Football Manager 2019,PC,,Removed,Jun 2019,Nov 2019,4.77,Dec 2018,0.51,86,142,Sports / Simulation,,,,,
Pony Island,PC,,Removed,Jun 2019,Nov 2019,5.23,Jan 2016,3.43,86,3,Adventure / Puzzle / Shoot 'Em Up,,,,,
LEGO Batman 3: Beyond Gotham,Xbox,,Removed,May 2019,Nov 2019,6.05,Nov 2014,4.47,74,11,Platformer / Action-Adventure,FPS Boost,,,,
The Surge,Xbox,,Removed,May 2019,Nov 2019,6.05,May 2017,1.96,74,21,Action / Role-Playing,,,,,
Kingdom: Two Crowns,Xbox,,Removed,Dec 2018,Nov 2019,10.68,Dec 2018,0.00,84,29,Strategy / Simulation,,,,,
Below,Xbox,,Removed,Dec 2018,Nov 2019,10.59,Dec 2018,0.00,70,19,Action-Adventure,,,,,
Strange Brigade,Xbox,,Removed,Dec 2018,Nov 2019,11.01,Aug 2018,0.26,75,8,Shooter / Action-Adventure,,,,,
Agents of Mayhem,Xbox,,Removed,Nov 2018,Nov 2019,11.31,Aug 2017,1.27,73,17,Action-Adventure,,,,,
MXGP3,Xbox,,Removed,Nov 2018,Nov 2019,11.31,May 2017,1.48,78,8,Sports / Driving/Racing,,,,,
Thomas Was Alone,Xbox,,Removed,Nov 2018,Nov 2019,11.31,Jun 2012,6.40,80,4,Puzzle / Platformer,,,,,
ABZÛ,Xbox / PC,,Removed,Jul 2018,Nov 2019,16.04,Aug 2016,1.91,83,2,Adventure,,,,,
Darksiders II: Deathinitive Edition,Xbox,,Removed,Feb 2018,Nov 2019,20.98,Aug 2012,5.47,75,20,Action / Role-Playing / Action-Adventure,,,,,
Darksiders: Warmastered Edition,Xbox,,Removed,Dec 2017,Nov 2019,23.01,Jan 2010,7.91,80,17,Action / Action-Adventure,FPS Boost,,,,"Xbox 360, PlayStation 3"
GRID 2,Xbox,,Removed,Jun 2017,Nov 2019,29.03,May 2013,4.02,78,18,Driving/Racing,,,,,
Resident Evil 5,Xbox,,Removed,Apr 2019,Oct 2019,5.23,Mar 2009,10.15,75,12,Action / Shooter,,,,,"Xbox 360, PlayStation 3"
Tyranny: Gold Edition,PC,,Removed,Jun 2019,Nov 2019,5.23,Nov 2016,2.58,80,20,Role-Playing,,,,,
Dead Island: Riptide - Definitive Edition,Xbox,,Removed,Oct 2018,Oct 2019,12.00,May 2016,2.34,57,11,Action / First-Person Shooter / Brawler,FPS Boost,,,,
>observer_,Xbox,,Removed,Aug 2018,Oct 2019,13.02,Aug 2017,1.04,86,7,Adventure,,,,,
LEGO Batman 2: DC Super Heroes,Xbox,,Removed,Mar 2019,Sep 2019,6.05,Jun 2012,6.70,79,9,Action-Adventure,,,,,
LEGO Indiana Jones: The Original Adventures,Xbox,,Removed,Oct 2018,Sep 2019,11.01,Jun 2008,10.33,77,10,Action-Adventure,,,,,"PC, Xbox 360, PlayStation 3, Wii"
Split/Second,Xbox,,Removed,Oct 2018,Sep 2019,11.01,May 2010,8.38,82,10,Action / Driving/Racing / Vehicular Combat,,,,,Xbox 360
Onrush,Xbox,,Removed,Sep 2018,Sep 2019,12.00,Jun 2018,0.24,77,12,Driving/Racing,,,,,
Ninja Gaiden Black,Xbox,,Removed,Nov 2017,Sep 2019,21.99,Sep 2005,12.12,94,16,Action-Adventure,,,,,OG Xbox
Super Street Fighter IV: Arcade Edition,Xbox,,Removed,Oct 2017,Sep 2019,23.01,Feb 2010,7.60,78,3,Fighting,,,,,"Xbox 360, PlayStation 3, PC, Arcade"
'Splosion Man,Xbox,,Removed,Jun 2017,Sep 2019,27.02,Jul 2009,7.87,84,8,Action / Platformer,,,,,Xbox 360
The Maw,Xbox,,Removed,Jun 2017,Sep 2019,27.02,Jan 2009,8.36,75,3,Action / Adventure / Platformer,,,,,"Xbox 360, PC"
InnerSpace,Xbox,,Removed,Sep 2018,Aug 2019,10.98,Jan 2018,0.62,64,5,Adventure / Flight Simulator,,,,,
Manual Samuel,Xbox,,Removed,Sep 2018,Aug 2019,10.98,Oct 2016,1.89,66,2,Adventure,,,,,
Sky Force: Reloaded,Xbox,,Removed,Sep 2018,Aug 2019,10.98,Feb 2018,0.58,86,16,Shoot 'Em Up,,,,,
Graveyard Keeper,Xbox,,Removed,Aug 2018,Aug 2019,11.54,Aug 2018,0.00,70,46,Adventure / Role-Playing / Simulation,,,,,
Alien Hominid HD,Xbox,,Removed,Jun 2018,Aug 2019,14.01,Nov 2004,13.54,79,5,Action / Shooter / Platformer,,,,,PC
BattleBlock Theater,Xbox,,Removed,Jun 2018,Aug 2019,14.01,Apr 2013,5.16,85,10,Puzzle / Platformer / Action-Adventure,,,,,
Garou: Mark of the Wolves,Xbox,,Removed,Sep 2017,Aug 2019,22.98,Nov 1999,17.78,77,2,Fighting,,,,,"Arcade, Neo Geo, Dreamcast"
A Kingdom for Keflings,Xbox,,Removed,Jun 2017,Aug 2019,26.01,Nov 2008,8.54,78,6,Strategy / Simulation,,,,,Xbox 360
A World of Keflings,Xbox,,Removed,Jun 2017,Aug 2019,26.01,Dec 2010,6.45,77,7,Simulation,,,,,
CastleStorm,Xbox,,Removed,Jun 2017,Aug 2019,26.01,May 2013,4.01,79,7,Action / Strategy / Brawler,,,,,
Joe Danger 2: The Movie,Xbox,,Removed,Jun 2017,Aug 2019,26.01,Oct 2012,4.65,82,2,Driving/Racing / Platformer,,,,,
Joe Danger: Special Edition,Xbox,,Removed,Jun 2017,Aug 2019,26.01,Jun 2010,6.99,88,6,Driving/Racing / Platformer,,,,,
Monday Night Combat,Xbox,,Removed,Jun 2017,Aug 2019,26.01,Aug 2010,6.81,79,3,Shooter / MOBA,,,,,
N+,Xbox,,Removed,Jun 2017,Aug 2019,26.01,Jul 2015,1.85,83,15,Platformer,,,,,
Spelunky,Xbox,,Removed,Jun 2017,Aug 2019,26.01,Sep 2009,7.75,87,18,Puzzle / Platformer / Action-Adventure,,,,,PC
Toy Soldiers,Xbox,,Removed,Jun 2017,Aug 2019,26.01,Mar 2010,7.25,81,6,Vehicular Combat / Shooter / Real-Time Strategy,,,,,Xbox 360
Toy Soldiers: Cold War,Xbox,,Removed,Jun 2017,Aug 2019,26.01,Aug 2011,5.79,81,4,Vehicular Combat / Shooter / Real-Time Strategy,,,,,
Aftercharge,Xbox,,Removed,Jan 2019,Jul 2019,5.95,Jan 2019,-0.02,69,,First-Person Shooter,,,,,
The LEGO Movie Videogame,Xbox,,Removed,Jan 2019,Jul 2019,5.95,Feb 2014,4.90,69,8,Action-Adventure,FPS Boost,,,,
Dandara,Xbox,,Removed,Aug 2018,Jul 2019,10.98,Feb 2018,0.48,70,7,Platformer / Action-Adventure,,,,,
Dead Rising 2,Xbox,,Removed,Aug 2018,Jul 2019,10.98,Sep 2010,7.92,79,14,Role-Playing / Action-Adventure,,,,,
HITMAN,Xbox,,Removed,Aug 2018,Jul 2019,10.98,Mar 2016,2.39,85,11,Action-Adventure,,,,,
Metal Slug XX,Xbox,,Removed,Aug 2017,Jul 2019,22.98,Dec 2009,7.61,61,1,Shooter,,,,,Xbox 360
Defense Grid: The Awakening,Xbox,,Removed,Jun 2017,Jul 2019,24.99,Dec 2008,8.48,82,11,Strategy / Real-Time Strategy,,,,,"PC, Xbox 360"
Hexic 2,Xbox,,Removed,Jun 2017,Jul 2019,24.99,Aug 2007,9.80,72,8,Puzzle,,,,,Xbox 360
Iron Brigade,Xbox,,Removed,Jun 2017,Jul 2019,24.99,Jun 2011,5.95,82,7,Strategy / Shooter,,,,,
Ultimate Marvel vs. Capcom 3,Xbox,,Removed,Jan 2019,Jun 2019,4.96,Nov 2011,7.13,78,1,Fighting,,,,,
Shadow Complex: Remastered,Xbox,,Removed,Jul 2018,Jun 2019,11.01,Aug 2009,8.87,80,5,Shooter / Action-Adventure,,,,,Xbox 360
Zombie Army Trilogy,Xbox,,Removed,Jul 2018,Jun 2019,11.01,Mar 2015,3.32,62,15,Shooter / Compilation,,,,,
Next Up Hero,Xbox,,Removed,Jun 2018,Jun 2019,12.00,Jul 2017,0.90,61,15,Action-Adventure,,,,,
Devil May Cry 4: Special Edition,Xbox,,Removed,Jan 2018,Jun 2019,16.96,Jun 2015,2.54,76,10,Action,,,,,
LEGO Star Wars: The Complete Saga,Xbox,,Removed,Jun 2018,May 2019,10.95,Nov 2007,10.58,80,14,Action / Action-Adventure,,,,,"Xbox 360, PlayStation 3, Wii"
STAR WARS: Knights of the Old Republic,Xbox,,Removed,Jun 2018,May 2019,10.95,Jul 2003,14.89,94,29,Role-Playing,,,,,"OG Xbox, PC"
MotoGP 17,Xbox,,Removed,Jun 2018,May 2019,10.98,Jul 2017,0.89,73,51,Driving/Racing,,,,,
Star Wars: The Force Unleashed,Xbox,,Removed,Jun 2018,May 2019,10.98,Sep 2008,9.71,73,8,Action-Adventure,,,,,"Xbox 360, PlayStation 3, Wii, PC"
Star Wars: The Force Unleashed II,Xbox,,Removed,Jun 2018,May 2019,10.98,Oct 2010,7.60,61,6,Action-Adventure,,,,,
Laser League,Xbox,,Removed,May 2018,May 2019,11.70,May 2018,0.00,81,3,Sports,,,,,
Comic Jumper,Xbox,,Removed,Jun 2017,May 2019,22.98,Oct 2010,6.66,74,6,Dual-Joystick Shooter / Platformer,,,,,
D4: Dark Dreams Don't Die,Xbox,,Removed,Jun 2017,May 2019,22.98,Sep 2014,2.70,76,5,Adventure,,,,,
DmC: Devil May Cry - Definitive Edition,Xbox,,Removed,Jun 2017,May 2019,22.98,Jan 2013,4.38,86,9,Action-Adventure,,,,,
JumpJet Rex,Xbox,,Removed,Jun 2017,May 2019,22.98,Apr 2016,1.09,76,3,Driving/Racing / Platformer,,,,,
Knight Squad,Xbox,,Removed,Jun 2017,May 2019,22.98,Nov 2015,1.54,71,1,Action,,,,,
Layers of Fear,Xbox,,Removed,Jun 2017,May 2019,22.98,Feb 2016,1.29,78,4,Adventure,,,,,
Mega Man Legacy Collection,Xbox,,Removed,Jun 2017,May 2019,22.98,Aug 2015,1.77,80,20,Action / Compilation / Platformer,,,,,
Ms. Splosion Man,Xbox,,Removed,Jun 2017,May 2019,22.98,Jul 2011,5.89,83,9,Action / Platformer,,,,,
Shantae and the Pirate's Curse,Xbox,,Removed,Jun 2017,May 2019,22.98,Oct 2014,2.61,79,8,Platformer,,,,,
Super Mega Baseball: Extra Innings,Xbox,,Removed,Jun 2017,May 2019,22.98,Aug 2015,1.80,80,11,Baseball,,,,,
Super Time Force,Xbox,,Removed,Jun 2017,May 2019,22.98,May 2014,3.05,80,4,Action / Platformer,,,,,
OlliOlli2: XL Edition,Xbox,,Removed,Nov 2018,Apr 2019,4.96,Aug 2016,2.23,83,3,Skateboarding,,,,,
Sheltered,Xbox,,Removed,Nov 2018,Apr 2019,4.96,Mar 2016,2.63,69,20,Strategy / Role-Playing,,,,,
Outlast,Xbox,,Removed,Oct 2018,Apr 2019,5.98,Sep 2013,5.08,80,5,Adventure,,,,,
Homefront: The Revolution,Xbox,,Removed,May 2018,Apr 2019,11.01,May 2016,1.96,49,12,First-Person Shooter,FPS Boost,,,,
Sonic & Knuckles,Xbox,,Removed,May 2018,Apr 2019,11.01,Aug 2017,0.71,69,3,Platformer,,,,,
Unmechanical: Extended Edition,Xbox,,Removed,May 2018,Apr 2019,11.01,Aug 2012,5.73,66,3,Adventure / Puzzle,,,,,
OlliOlli,Xbox,,Removed,Jun 2017,Apr 2019,21.99,Jan 2014,3.36,78,4,Skateboarding,,,,,
Pumped BMX +,Xbox,,Removed,Jun 2017,Apr 2019,21.99,Sep 2015,1.70,56,6,Action / Driving/Racing,,,,,
The Golf Club,Xbox,,Removed,Jun 2017,Apr 2019,21.99,Aug 2014,2.79,64,10,Golf,,,,,
The Swapper,Xbox,,Removed,Jun 2017,Apr 2019,21.99,May 2013,4.01,92,5,Puzzle / Platformer,,,,,
Kingdom: New Lands,Xbox,,Removed,Apr 2018,Mar 2019,10.98,Oct 2015,2.45,87,8,Strategy / Adventure / Simulation,,,,,
Late Shift,Xbox,,Removed,Apr 2018,Mar 2019,10.98,Apr 2017,0.95,72,2,Adventure,,,,,
Portal Knights,Xbox,,Removed,Apr 2018,Mar 2019,10.98,Feb 2016,2.10,77,26,Action-Adventure,,,,,
Sacred Citadel,Xbox,,Removed,Apr 2018,Mar 2019,10.98,Apr 2013,4.96,63,5,Brawler / Action-Adventure,,,,,
F1 2015,Xbox,,Removed,Jul 2017,Feb 2019,19.96,Jul 2015,1.98,64,11,Driving/Racing,,,,,
Aven Colony,Xbox,,Removed,Sep 2018,Feb 2019,5.03,Jul 2017,1.10,77,30,Simulation,,,,,
Shadow Warrior,Xbox,,Removed,Sep 2018,Feb 2019,5.03,Sep 2013,4.93,74,13,First-Person Shooter,,,,,
Dovetail Games: Euro Fishing,Xbox,,Removed,Mar 2018,Feb 2019,11.08,Nov 2015,2.33,61,29,Fishing,,,,,
Resident Evil: Revelations 2,Xbox,,Removed,Mar 2018,Feb 2019,11.08,Feb 2015,3.02,75,10,Shooter,,,,,
Sonic CD,Xbox,,Removed,Mar 2018,Feb 2019,11.08,Sep 1993,24.45,82,2,Action / Platformer,,,,,Sega CD
The Final Station,Xbox,,Removed,Mar 2018,Feb 2019,11.08,Aug 2016,1.50,70,5,Action / Adventure,,,,,
Kyub,Xbox,,Removed,Jun 2017,Feb 2019,20.05,Jul 2016,0.88,90,,Puzzle,,,,,
Mega Coin Squad,Xbox,,Removed,Jun 2017,Feb 2019,20.05,Aug 2014,2.80,74,1,Action / Platformer,,,,,
The Escapists: The Walking Dead,Xbox,,Removed,Aug 2018,Jan 2019,5.03,Sep 2015,2.84,65,7,Strategy / Simulation,,,,,
Letter Quest: Grimm's Journey - Remastered,Xbox,,Removed,Feb 2018,Jan 2019,10.98,Jul 2014,3.53,77,9,Puzzle,,,,,
Dead Rising 3,Xbox,,Removed,Aug 2017,Jan 2019,17.03,Nov 2013,3.69,78,14,Role-Playing / Action-Adventure,,,,,
Electronic Super Joy,Xbox,,Removed,Jun 2017,Jan 2019,19.04,Aug 2013,3.78,77,3,Platformer,,,,,
Roundabout,Xbox,,Removed,Jun 2017,Jan 2019,19.04,Sep 2014,2.70,74,3,Puzzle,,,,,
Stacking,Xbox,,Removed,Jun 2017,Jan 2019,19.04,Feb 2011,6.32,84,4,Adventure / Puzzle,,,,,
Steredenn,Xbox,,Removed,Jun 2017,Jan 2019,19.04,May 2015,2.04,79,2,Shoot 'Em Up,,,,,
Bayonetta,Xbox,,Removed,Jan 2018,Dec 2018,10.98,Oct 2009,8.18,90,11,Action,,,,,"Xbox 360, PlayStation 3"
Deadlight: Director's Cut,Xbox,,Removed,Jan 2018,Dec 2018,10.98,Sep 2014,3.29,69,4,Role-Playing,,,,,
Injustice: Gods Among Us,Xbox,,Removed,Jan 2018,Dec 2018,10.98,Apr 2013,4.72,81,5,Fighting,,,,,
Metal Gear Solid V: Ground Zeroes,Xbox,,Removed,Jan 2018,Dec 2018,10.98,Mar 2014,3.79,76,2,Action / Shooter,,,,,
NBA Playgrounds,Xbox,,Removed,Jan 2018,Dec 2018,10.98,May 2017,0.65,66,7,Sports / Basketball,,,,,
WRC 5: FIA World Rally Championships,Xbox,,Removed,Jan 2018,Dec 2018,10.98,Oct 2010,7.24,70,15,Driving/Racing,,,,,
Farming Simulator 15,Xbox,,Removed,Jun 2017,Dec 2018,18.02,Oct 2014,2.59,54,61,Simulation,,,,,
The Technomancer,Xbox,,Removed,Jun 2018,Nov 2018,5.03,Jun 2016,1.93,68,21,Action / Role-Playing,,,,,
Casey Powell Lacrosse 16,Xbox,,Removed,Dec 2017,Nov 2018,11.01,Mar 2016,1.73,60,40,Sports,,,,,
Mega Man 10,Xbox,,Removed,Dec 2017,Nov 2018,11.01,Mar 2010,7.76,79,2,Action / Platformer,,,,,"Xbox 360, PlayStation 3, Wii"
Sherlock Holmes: The Devil's Daughter,Xbox,,Removed,Dec 2017,Nov 2018,11.01,Jun 2016,1.48,66,10,Action / Adventure,,,,,
This War of Mine: The Little Ones,Xbox,,Removed,Dec 2017,Nov 2018,11.01,Nov 2014,3.05,78,10,Strategy / Adventure,,,,,
Resident Evil Zero,Xbox,,Removed,Jun 2017,Nov 2018,17.03,Nov 2002,14.57,69,12,Action-Adventure,,,,,GameCube
Oddworld: New 'n' Tasty,Xbox,,Removed,Nov 2017,Oct 2018,10.95,Jul 2014,3.28,86,8,Platformer,,,,,
Mega Man 9,Xbox,,Removed,Nov 2017,Oct 2018,10.98,Sep 2008,9.12,82,4,Action / Platformer,,,,,"Xbox 360, PlayStation 3, Wii"
Resident Evil,Xbox,,Removed,Nov 2017,Oct 2018,10.98,Mar 2002,15.62,82,11,Action-Adventure,,,,,PlayStation
Sky Force: Anniversary,Xbox,,Removed,Nov 2017,Oct 2018,10.98,Apr 2015,2.51,77,8,Action / Shoot 'Em Up,,,,,
World of Van Helsing: Deathtrap,Xbox,,Removed,Nov 2017,Oct 2018,10.98,Feb 2015,2.75,80,7,Strategy,,,,,
Maldita Castilla EX: Cursed Castilla,Xbox,,Removed,Oct 2017,Sep 2018,11.01,Dec 2012,4.81,81,6,Platformer,,,,,
Saints Row: Gat Out of Hell,Xbox,,Removed,Oct 2017,Sep 2018,11.01,Jan 2015,2.70,65,4,Shooter / Action-Adventure,,,,,
The Bug Butcher,Xbox,,Removed,Oct 2017,Sep 2018,11.01,Jan 2016,1.70,80,2,Action / Shooter,,,,,
Tower of Guns,Xbox,,Removed,Oct 2017,Sep 2018,11.01,Mar 2014,3.58,71,3,First-Person Shooter,,,,,
Pro Evolution Soccer 2018,Xbox,,Removed,May 2018,Aug 2018,3.02,Sep 2017,0.63,82,86,Soccer,,,,,
10 Second Ninja X,Xbox,,Removed,Sep 2017,Aug 2018,10.98,Jul 2016,1.12,82,2,Action / Puzzle / Platformer,,,,,
The Bridge,Xbox,,Removed,Sep 2017,Aug 2018,10.98,Feb 2013,4.53,72,4,Puzzle / Platformer,,,,,
Galaga Legions DX,Xbox,,Removed,Jun 2017,Aug 2018,14.01,Jun 2011,5.93,74,2,Action / Shoot 'Em Up,,,,,
Pac-Man Museum,Xbox,,Removed,Jun 2017,Aug 2018,14.01,Feb 2014,3.27,64,3,Compilation,,,,,
SoulCalibur II HD Online,Xbox,,Removed,Jun 2017,Aug 2018,14.01,Nov 2013,3.53,76,3,Fighting,,,,,
Tekken Tag Tournament 2,Xbox,,Removed,Jun 2017,Aug 2018,14.01,Sep 2011,5.73,83,2,Fighting,,,,,
Overcooked!,Xbox,,Removed,May 2018,Jul 2018,2.01,Aug 2016,1.74,80,8,Simulation,,,,,
Pharaonic,Xbox,,Removed,Aug 2017,Jul 2018,10.98,Apr 2016,1.26,71,11,Action / Role-Playing,,,,,
So Many Me,Xbox,,Removed,Aug 2017,Jul 2018,10.98,Jul 2015,2.05,82,10,Puzzle / Platformer,,,,,
Ultratron,Xbox,,Removed,Aug 2017,Jul 2018,10.98,Mar 2013,4.38,74,3,Dual-Joystick Shooter,,,,,
Bomberman Live: Battlefest,Xbox,,Removed,Apr 2018,Jun 2018,1.51,Dec 2010,7.36,70,1,Action / Puzzle,,,,,
Bard's Gold,Xbox,,Removed,Jul 2017,Jun 2018,11.01,Aug 2015,1.88,63,5,Platformer,,,,,
Monaco: What's Yours is Mine,Xbox,,Removed,Jul 2017,Jun 2018,11.01,Apr 2013,4.19,81,8,Action / Strategy,,,,,
Resident Evil 6,Xbox,,Removed,Jul 2017,Jun 2018,11.01,Oct 2012,4.75,63,22,Action / Shooter / Brawler,,,,,
BioShock Infinite,Xbox,,Removed,Jun 2017,May 2018,11.08,Mar 2013,4.19,93,12,First-Person Shooter / Action-Adventure,,,,,
BioShock 2,Xbox,,Removed,Jun 2017,May 2018,11.05,Feb 2010,7.31,88,11,First-Person Shooter / Action-Adventure,,,,,"Xbox 360, PlayStation 3, PC"
BioShock,Xbox,,Removed,Jun 2017,May 2018,11.01,Aug 2007,9.79,96,12,First-Person Shooter / Action-Adventure,,,,,"Xbox 360, PC"
Age of Booty,Xbox,,Removed,Jun 2017,May 2018,10.98,Oct 2008,8.63,76,8,Real-Time Strategy,,,,,"Xbox 360, PlayStation 3"
Bionic Commando: Rearmed 2,Xbox,,Removed,Jun 2017,May 2018,10.98,Feb 2011,6.33,62,6,Action / Platformer,,,,,
Blood Bowl 2,Xbox,,Removed,Jun 2017,May 2018,10.98,Sep 2015,1.69,70,19,Strategy / Role-Playing / Football,,,,,
Borderlands,Xbox,,Removed,Jun 2017,May 2018,10.98,Oct 2009,7.62,84,23,Action / Role-Playing / First-Person Shooter,,,,,"Xbox 360, PlayStation 3, PC"
Bound by Flame,Xbox,,Removed,Jun 2017,May 2018,10.98,May 2014,3.07,56,13,Role-Playing / Action-Adventure,,,,,
de Blob 2,Xbox,,Removed,Jun 2017,May 2018,10.98,Feb 2011,6.28,76,11,Puzzle / Platformer,,,,,
Dead Rising 2: Case Zero,Xbox,,Removed,Jun 2017,May 2018,10.98,Aug 2010,6.76,79,2,Shooter / Brawler / Action-Adventure,,,,,
